(0,-0)	 	(0,0)
(0.152626,-0.0390412)	 	(0.152626,0.0390412)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.325652,-0.189773)	 	(-0.325652,0.189773)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.044909,0.165406)	 	(-0.044909,-0.165406)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.131642,-0.130401)	 	(-0.131642,0.130401)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.095219,-0.158954)	 	(0.095219,0.158954)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0844975,0.149115)	 	(0.0844975,-0.149115)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(0.277363,-0.273323)	 	(0.277363,0.273323)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.251644,4.21492e-15)	 	(-0.251644,-4.21492e-15)
(-6.35043e-17,4.88894e-17)	 	(-6.35043e-17,-4.88894e-17)
(1.63423e-16,7.45027e-17)	 	(1.63423e-16,-7.45027e-17)
(-6.21373e-17,-1.84653e-17)	 	(-6.21373e-17,1.84653e-17)
(-0.0786418,-0.292646)	 	(-0.0786418,0.292646)
(-5.32423e-17,-1.13079e-16)	 	(-5.32423e-17,1.13079e-16)
(-7.56965e-17,2.22129e-17)	 	(-7.56965e-17,-2.22129e-17)
(1.26153e-16,3.53512e-17)	 	(1.26153e-16,-3.53512e-17)
(0.108541,-0.0597865)	 	(0.108541,0.0597865)
(-6.35417e-17,-9.3094e-18)	 	(-6.35417e-17,9.3094e-18)
(-8.2154e-17,-7.07779e-18)	 	(-8.2154e-17,7.07779e-18)
(-6.00176e-18,-9.22441e-18)	 	(-6.00176e-18,9.22441e-18)
(0.119968,0.0310217)	 	(0.119968,-0.0310217)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.00366437,0.303005)	 	(-0.00366437,-0.303005)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.243792,0.0623623)	 	(-0.243792,-0.0623623)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.336447,0.196061)	 	(0.336447,-0.196061)
(0,-0)	 	(0,0)
